SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
125947	6297350	0.01	-0.008	0.021	-0.0168
125948	6297400	0.008	-0.007	0.0168	-0.0147
125949	6297450	0.008	-0.007	0.0168	-0.0147
125950	6297500	0.006	-0.007	0.0126	-0.0147
125951	6297550	0.007	-0.007	0.0147	-0.0147
125952	6297600	0.008	-0.008	0.0168	-0.0168
125953	6297650	0.008	-0.007	0.0168	-0.0147
125954	6297700	0.008	-0.007	0.0168	-0.0147
125955	6297750	0.009	-0.007	0.0189	-0.0147
125956	6297800	0.01	-0.005	0.021	-0.0105
125957	6297850	0.009	-0.005	0.0189	-0.0105
125958	6297900	0.007	-0.006	0.0147	-0.0126
125959	6297950	0.007	-0.006	0.0147	-0.0126
125960	6298000	0.008	-0.008	0.0168	-0.0168
125961	6298050	0.009	-0.008	0.0189	-0.0168
125962	6298100	0.009	-0.008	0.0189	-0.0168
125963	6298150	0.008	-0.007	0.0168	-0.0147
125964	6298200	0.008	-0.005	0.0168	-0.0105
125965	6298250	0.008	-0.006	0.0168	-0.0126
125966	6298300	0.009	-0.007	0.0189	-0.0147
125967	6298350	0.008	-0.008	0.0168	-0.0168
125968	6298400	0.008	-0.007	0.0168	-0.0147
125969	6298450	0.007	-0.008	0.0147	-0.0168
125970	6298500	0.008	-0.007	0.0168	-0.0147
125971	6298550	0.009	-0.007	0.0189	-0.0147
125972	6298600	0.009	-0.007	0.0189	-0.0147
125973	6298650	0.009	-0.007	0.0189	-0.0147
125974	6298700	0.008	-0.008	0.0168	-0.0168
125975	6298750	0.008	-0.008	0.0168	-0.0168
125976	6298800	0.01	-0.008	0.021	-0.0168
125977	6298850	0.009	-0.008	0.0189	-0.0168
125978	6298900	0.008	-0.007	0.0168	-0.0147
125979	6298950	0.008	-0.006	0.0168	-0.0126
125980	6299000	0.009	-0.007	0.0189	-0.0147
125981	6299050	0.008	-0.007	0.0168	-0.0147
125982	6299100	0.008	-0.006	0.0168	-0.0126
125983	6299150	0.007	-0.005	0.0147	-0.0105
125984	6299200	0.009	-0.004	0.0189	-0.0084
125985	6299250	0.009	-0.005	0.0189	-0.0105
125986	6299300	0.009	-0.007	0.0189	-0.0147
125987	6299350	0.008	-0.006	0.0168	-0.0126
125988	6299400	0.008	-0.006	0.0168	-0.0126
125989	6299450	0.008	-0.007	0.0168	-0.0147
125990	6299500	0.01	-0.006	0.021	-0.0126
125991	6299550	0.009	-0.006	0.0189	-0.0126
125992	6299600	0.009	-0.008	0.0189	-0.0168
125993	6299650	0.008	-0.007	0.0168	-0.0147
125994	6299700	0.008	-0.006	0.0168	-0.0126
125995	6299750	0.008	-0.006	0.0168	-0.0126
