SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
70742	3537100	0.01	0.007	0.021	0.0147
70743	3537150	0.009	0.007	0.0189	0.0147
70744	3537200	0.007	0.006	0.0147	0.0126
70745	3537250	0.008	0.005	0.0168	0.0105
70746	3537300	0.009	0.006	0.0189	0.0126
70747	3537350	0.009	0.007	0.0189	0.0147
70748	3537400	0.009	0.007	0.0189	0.0147
70749	3537450	0.009	0.005	0.0189	0.0105
70750	3537500	0.008	0.006	0.0168	0.0126
70751	3537550	0.009	0.007	0.0189	0.0147
70752	3537600	0.008	0.01	0.0168	0.021
70753	3537650	0.009	0.008	0.0189	0.0168
70754	3537700	0.009	0.007	0.0189	0.0147
70755	3537750	0.009	0.005	0.0189	0.0105
70756	3537800	0.01	0.005	0.021	0.0105
70757	3537850	0.01	0.005	0.021	0.0105
70758	3537900	0.008	0.006	0.0168	0.0126
70759	3537950	0.007	0.006	0.0147	0.0126
70760	3538000	0.008	0.007	0.0168	0.0147
70761	3538050	0.009	0.007	0.0189	0.0147
70762	3538100	0.009	0.007	0.0189	0.0147
70763	3538150	0.008	0.007	0.0168	0.0147
70764	3538200	0.007	0.007	0.0147	0.0147
70765	3538250	0.008	0.007	0.0168	0.0147
70766	3538300	0.009	0.006	0.0189	0.0126
70767	3538350	0.009	0.005	0.0189	0.0105
70768	3538400	0.009	0.005	0.0189	0.0105
70769	3538450	0.008	0.005	0.0168	0.0105
70770	3538500	0.01	0.005	0.021	0.0105
70771	3538550	0.009	0.006	0.0189	0.0126
70772	3538600	0.011	0.005	0.0231	0.0105
70773	3538650	0.009	0.005	0.0189	0.0105
70774	3538700	0.006	0.006	0.0126	0.0126
70775	3538750	0.005	0.006	0.0105	0.0126
70776	3538800	0.003	0.008	0.0063	0.0168
70777	3538850	0	0.008	0	0.0168
70778	3538900	-0.004	0.006	-0.0084	0.0126
70779	3538950	-0.008	0.006	-0.0168	0.0126
70780	3539000	-0.009	0.008	-0.0189	0.0168
70781	3539050	-0.012	0.009	-0.0252	0.0189
70782	3539100	-0.018	0.008	-0.0378	0.0168
70783	3539150	-0.019	0.006	-0.0399	0.0126
70784	3539200	-0.021	0.006	-0.0441	0.0126
70785	3539250	-0.021	0.005	-0.0441	0.0105
70786	3539300	-0.024	0.005	-0.0504	0.0105
70787	3539350	-0.024	0.006	-0.0504	0.0126
70788	3539400	-0.022	0.006	-0.0462	0.0126
70789	3539450	-0.024	0.008	-0.0504	0.0168
70790	3539500	-0.026	0.008	-0.0546	0.0168
70791	3539550	-0.026	0.005	-0.0546	0.0105
70792	3539600	-0.024	0.005	-0.0504	0.0105
70793	3539650	-0.022	0.004	-0.0462	0.0084
70794	3539700	-0.022	0.005	-0.0462	0.0105
70795	3539750	-0.022	0.005	-0.0462	0.0105
70796	3539800	-0.021	0.005	-0.0441	0.0105
70797	3539850	-0.02	0.005	-0.042	0.0105
70798	3539900	-0.016	0.006	-0.0336	0.0126
70799	3539950	-0.014	0.006	-0.0294	0.0126
70800	3540000	-0.012	0.005	-0.0252	0.0105
70801	3540050	-0.01	0.004	-0.021	0.0084
70802	3540100	-0.009	0.005	-0.0189	0.0105
70803	3540150	-0.005	0.005	-0.0105	0.0105
70804	3540200	-0.006	0.007	-0.0126	0.0147
70805	3540250	-0.009	0.007	-0.0189	0.0147
70806	3540300	-0.013	0.006	-0.0273	0.0126
70807	3540350	-0.012	0.006	-0.0252	0.0126
70808	3540400	-0.006	0.006	-0.0126	0.0126
70809	3540450	-0.005	0.006	-0.0105	0.0126
70810	3540500	-0.009	0.005	-0.0189	0.0105
70811	3540550	-0.011	0.004	-0.0231	0.0084
70812	3540600	-0.011	0.005	-0.0231	0.0105
70813	3540650	-0.01	0.005	-0.021	0.0105
70814	3540700	-0.004	0.003	-0.0084	0.0063
70815	3540750	0.001	0.003	0.0021	0.0063
70816	3540800	-0.001	0.004	-0.0021	0.0084
70817	3540850	-0.006	0.004	-0.0126	0.0084
70818	3540900	-0.009	0.003	-0.0189	0.0063
70819	3540950	-0.008	0.003	-0.0168	0.0063
70820	3541000	0	0.003	0	0.0063
70821	3541050	0.002	0.005	0.0042	0.0105
70822	3541100	-0.001	0.004	-0.0021	0.0084
70823	3541150	-0.001	0.005	-0.0021	0.0105
70824	3541200	0.004	0.005	0.0084	0.0105
70825	3541250	0.01	0.005	0.021	0.0105
70826	3541300	0.011	0.005	0.0231	0.0105
70827	3541350	0.01	0.005	0.021	0.0105
70828	3541400	0.009	0.004	0.0189	0.0084
70829	3541450	0.009	0.005	0.0189	0.0105
70830	3541500	0.01	0.004	0.021	0.0084
70831	3541550	0.01	0.003	0.021	0.0063
70832	3541600	0.009	0.005	0.0189	0.0105
70833	3541650	0.01	0.005	0.021	0.0105
70834	3541700	0.009	0.004	0.0189	0.0084
70835	3541750	0.008	0.003	0.0168	0.0063
70836	3541800	0.009	0.003	0.0189	0.0063
70837	3541850	0.009	0.004	0.0189	0.0084
70838	3541900	0.009	0.004	0.0189	0.0084
70839	3541950	0.009	0.004	0.0189	0.0084
70840	3542000	0.01	0.004	0.021	0.0084
70841	3542050	0.011	0.005	0.0231	0.0105
70842	3542100	0.011	0.005	0.0231	0.0105
70843	3542150	0.009	0.005	0.0189	0.0105
70844	3542200	0.003	0.005	0.0063	0.0105
70845	3542250	0.002	0.005	0.0042	0.0105
70846	3542300	0	0.004	0	0.0084
70847	3542350	-0.002	0.004	-0.0042	0.0084
70848	3542400	-0.004	0.005	-0.0084	0.0105
70849	3542450	-0.003	0.004	-0.0063	0.0084
70850	3542500	0	0.003	0	0.0063
70851	3542550	0	0.003	0	0.0063
70852	3542600	-0.001	0.004	-0.0021	0.0084
70853	3542650	-0.004	0.006	-0.0084	0.0126
70854	3542700	-0.006	0.007	-0.0126	0.0147
70855	3542750	-0.005	0.005	-0.0105	0.0105
70856	3542800	-0.004	0.004	-0.0084	0.0084
70857	3542850	-0.005	0.004	-0.0105	0.0084
70858	3542900	-0.002	0.005	-0.0042	0.0105
70859	3542950	0.001	0.005	0.0021	0.0105
70860	3543000	0.006	0.004	0.0126	0.0084
70861	3543050	0.006	0.004	0.0126	0.0084
70862	3543100	0.006	0.005	0.0126	0.0105
70863	3543150	0.004	0.006	0.0084	0.0126
70864	3543200	0.004	0.007	0.0084	0.0147
70865	3543250	0.004	0.005	0.0084	0.0105
70866	3543300	0.004	0.004	0.0084	0.0084
70867	3543350	0.004	0.006	0.0084	0.0126
70868	3543400	0.005	0.005	0.0105	0.0105
70869	3543450	0.007	0.007	0.0147	0.0147
70870	3543500	0.009	0.006	0.0189	0.0126
70871	3543550	0.008	0.006	0.0168	0.0126
70872	3543600	0.006	0.006	0.0126	0.0126
70873	3543650	0.004	0.006	0.0084	0.0126
70874	3543700	0.004	0.006	0.0084	0.0126
70875	3543750	0.003	0.005	0.0063	0.0105
70876	3543800	0.004	0.005	0.0084	0.0105
70877	3543850	0.006	0.006	0.0126	0.0126
70878	3543900	0.004	0.007	0.0084	0.0147
70879	3543950	0.003	0.006	0.0063	0.0126
70880	3544000	0.004	0.005	0.0084	0.0105
70881	3544050	0.005	0.005	0.0105	0.0105
70882	3544100	0.005	0.005	0.0105	0.0105
70883	3544150	0.003	0.004	0.0063	0.0084
70884	3544200	0.003	0.005	0.0063	0.0105
70885	3544250	0.002	0.006	0.0042	0.0126
70886	3544300	0.002	0.005	0.0042	0.0105
70887	3544350	0.002	0.003	0.0042	0.0063
70888	3544400	0.002	0.003	0.0042	0.0063
70889	3544450	0.003	0.003	0.0063	0.0063
70890	3544500	0.003	0.004	0.0063	0.0084
70891	3544550	0.003	0.003	0.0063	0.0063
70892	3544600	0.002	0.004	0.0042	0.0084
70893	3544650	0.001	0.005	0.0021	0.0105
70894	3544700	0	0.005	0	0.0105
70895	3544750	0	0.005	0	0.0105
70896	3544800	0.003	0.004	0.0063	0.0084
70897	3544850	0.006	0.004	0.0126	0.0084
70898	3544900	0.007	0.006	0.0147	0.0126
70899	3544950	0.006	0.005	0.0126	0.0105
70900	3545000	0.007	0.003	0.0147	0.0063
70901	3545050	0.007	0.003	0.0147	0.0063
70902	3545100	0.005	0.004	0.0105	0.0084
70903	3545150	0.004	0.004	0.0084	0.0084
70904	3545200	0.003	0.004	0.0063	0.0084
70905	3545250	0.002	0.005	0.0042	0.0105
70906	3545300	0.001	0.006	0.0021	0.0126
70907	3545350	0.002	0.006	0.0042	0.0126
70908	3545400	0.005	0.004	0.0105	0.0084
70909	3545450	0.007	0.004	0.0147	0.0084
70910	3545500	0.006	0.005	0.0126	0.0105
70911	3545550	0.005	0.005	0.0105	0.0105
70912	3545600	0.004	0.004	0.0084	0.0084
70913	3545650	0.005	0.004	0.0105	0.0084
70914	3545700	0.007	0.002	0.0147	0.0042
70915	3545750	0.007	0.003	0.0147	0.0063
70916	3545800	0.007	0.004	0.0147	0.0084
70917	3545850	0.007	0.004	0.0147	0.0084
70918	3545900	0.006	0.003	0.0126	0.0063
70919	3545950	0.003	0.003	0.0063	0.0063
70920	3546000	0.002	0.004	0.0042	0.0084
70921	3546050	0.005	0.004	0.0105	0.0084
70922	3546100	0.008	0.005	0.0168	0.0105
70923	3546150	0.008	0.005	0.0168	0.0105
70924	3546200	0.007	0.004	0.0147	0.0084
70925	3546250	0.009	0.003	0.0189	0.0063
70926	3546300	0.01	0.005	0.021	0.0105
70927	3546350	0.01	0.005	0.021	0.0105
70928	3546400	0.012	0.003	0.0252	0.0063
70929	3546450	0.012	0.002	0.0252	0.0042
70930	3546500	0.01	0.003	0.021	0.0063
70931	3546550	0.009	0.002	0.0189	0.0042
70932	3546600	0.009	0.002	0.0189	0.0042
70933	3546650	0.009	0.003	0.0189	0.0063
70934	3546700	0.009	0.004	0.0189	0.0084
70935	3546750	0.009	0.006	0.0189	0.0126
70936	3546800	0.009	0.008	0.0189	0.0168
70937	3546850	0.01	0.005	0.021	0.0105
70938	3546900	0.011	0.003	0.0231	0.0063
70939	3546950	0.012	0.004	0.0252	0.0084
70940	3547000	0.011	0.004	0.0231	0.0084
70941	3547050	0.012	0.005	0.0252	0.0105
70942	3547100	0.01	0.005	0.021	0.0105
70943	3547150	0.01	0.006	0.021	0.0126
70944	3547200	0.011	0.004	0.0231	0.0084
70945	3547250	0.011	0.003	0.0231	0.0063
70946	3547300	0.01	0.003	0.021	0.0063
70947	3547350	0.011	0.005	0.0231	0.0105
70948	3547400	0.01	0.005	0.021	0.0105
70949	3547450	0.011	0.005	0.0231	0.0105
70950	3547500	0.012	0.005	0.0252	0.0105
70951	3547550	0.012	0.004	0.0252	0.0084
70952	3547600	0.012	0.004	0.0252	0.0084
70953	3547650	0.01	0.003	0.021	0.0063
70954	3547700	0.01	0.004	0.021	0.0084
70955	3547750	0.01	0.003	0.021	0.0063
70956	3547800	0.01	0.003	0.021	0.0063
70957	3547850	0.009	0.003	0.0189	0.0063
70958	3547900	0.01	0.004	0.021	0.0084
70959	3547950	0.012	0.004	0.0252	0.0084
70960	3548000	0.013	0.005	0.0273	0.0105
70961	3548050	0.012	0.007	0.0252	0.0147
70962	3548100	0.012	0.007	0.0252	0.0147
70963	3548150	0.012	0.006	0.0252	0.0126
70964	3548200	0.01	0.005	0.021	0.0105
70965	3548250	0.01	0.004	0.021	0.0084
70966	3548300	0.009	0.003	0.0189	0.0063
70967	3548350	0.01	0.002	0.021	0.0042
70968	3548400	0.01	0.002	0.021	0.0042
70969	3548450	0.012	0.003	0.0252	0.0063
70970	3548500	0.013	0.003	0.0273	0.0063
70971	3548550	0.013	0.004	0.0273	0.0084
70972	3548600	0.012	0.004	0.0252	0.0084
70973	3548650	0.009	0.003	0.0189	0.0063
70974	3548700	0.004	0.004	0.0084	0.0084
70975	3548750	0.003	0.003	0.0063	0.0063
70976	3548800	0.004	0.003	0.0084	0.0063
70977	3548850	0.002	0.004	0.0042	0.0084
70978	3548900	-0.003	0.005	-0.0063	0.0105
70979	3548950	-0.004	0.005	-0.0084	0.0105
70980	3549000	-0.003	0.005	-0.0063	0.0105
70981	3549050	-0.002	0.005	-0.0042	0.0105
70982	3549100	-0.003	0.006	-0.0063	0.0126
70983	3549150	-0.005	0.005	-0.0105	0.0105
70984	3549200	-0.005	0.005	-0.0105	0.0105
70985	3549250	-0.006	0.004	-0.0126	0.0084
70986	3549300	-0.014	0.004	-0.0294	0.0084
70987	3549350	-0.015	0.005	-0.0315	0.0105
70988	3549400	-0.009	0.005	-0.0189	0.0105
70989	3549450	-0.007	0.006	-0.0147	0.0126
70990	3549500	-0.009	0.004	-0.0189	0.0084
70991	3549550	-0.012	0.004	-0.0252	0.0084
70992	3549600	-0.008	0.004	-0.0168	0.0084
70993	3549650	-0.003	0.004	-0.0063	0.0084
70994	3549700	-0.003	0.003	-0.0063	0.0063
70995	3549750	-0.001	0.003	-0.0021	0.0063
70996	3549800	0	0.004	0	0.0084
70997	3549850	0.002	0.003	0.0042	0.0063
70998	3549900	-0.002	0.004	-0.0042	0.0084
70999	3549950	-0.003	0.004	-0.0063	0.0084
71000	3550000	-0.004	0.005	-0.0084	0.0105
71001	3550050	-0.005	0.004	-0.0105	0.0084
71002	3550100	-0.005	0.004	-0.0105	0.0084
71003	3550150	-0.001	0.005	-0.0021	0.0105
71004	3550200	0	0.005	0	0.0105
71005	3550250	0.001	0.005	0.0021	0.0105
71006	3550300	0	0.006	0	0.0126
71007	3550350	0	0.004	0	0.0084
71008	3550400	0.004	0.004	0.0084	0.0084
71009	3550450	0.009	0.004	0.0189	0.0084
71010	3550500	0.009	0.005	0.0189	0.0105
71011	3550550	0.008	0.005	0.0168	0.0105
71012	3550600	0.005	0.004	0.0105	0.0084
71013	3550650	0.004	0.002	0.0084	0.0042
71014	3550700	0	0.004	0	0.0084
71015	3550750	-0.002	0.004	-0.0042	0.0084
71016	3550800	-0.003	0.003	-0.0063	0.0063
71017	3550850	-0.001	0.004	-0.0021	0.0084
71018	3550900	-0.002	0.005	-0.0042	0.0105
71019	3550950	-0.002	0.003	-0.0042	0.0063
71020	3551000	-0.003	0.003	-0.0063	0.0063
71021	3551050	-0.004	0.002	-0.0084	0.0042
71022	3551100	-0.001	0.003	-0.0021	0.0063
71023	3551150	0	0.003	0	0.0063
71024	3551200	0.001	0.003	0.0021	0.0063
71025	3551250	0.002	0.005	0.0042	0.0105
71026	3551300	0.003	0.004	0.0063	0.0084
71027	3551350	0.003	0.004	0.0063	0.0084
71028	3551400	0.004	0.002	0.0084	0.0042
71029	3551450	0.003	0.003	0.0063	0.0063
71030	3551500	0	0.003	0	0.0063
71031	3551550	-0.002	0.003	-0.0042	0.0063
71032	3551600	-0.001	0.003	-0.0021	0.0063
71033	3551650	0	0.004	0	0.0084
71034	3551700	0	0.005	0	0.0105
71035	3551750	-0.002	0.004	-0.0042	0.0084
71036	3551800	-0.005	0.002	-0.0105	0.0042
71037	3551850	-0.005	0.004	-0.0105	0.0084
71038	3551900	0	0.004	0	0.0084
71039	3551950	0	0.004	0	0.0084
71040	3552000	0.001	0.005	0.0021	0.0105
71041	3552050	0.004	0.006	0.0084	0.0126
71042	3552100	0.005	0.004	0.0105	0.0084
71043	3552150	0.005	0.002	0.0105	0.0042
71044	3552200	0.003	0.003	0.0063	0.0063
71045	3552250	0.003	0.003	0.0063	0.0063
71046	3552300	0.004	0.004	0.0084	0.0084
71047	3552350	0.005	0.004	0.0105	0.0084
71048	3552400	0.009	0.005	0.0189	0.0105
71049	3552450	0.01	0.005	0.021	0.0105
71050	3552500	0.011	0.004	0.0231	0.0084
71051	3552550	0.012	0.004	0.0252	0.0084
71052	3552600	0.012	0.004	0.0252	0.0084
71053	3552650	0.013	0.004	0.0273	0.0084
71054	3552700	0.013	0.004	0.0273	0.0084
71055	3552750	0.011	0.005	0.0231	0.0105
71056	3552800	0.009	0.006	0.0189	0.0126
71057	3552850	0.01	0.005	0.021	0.0105
71058	3552900	0.009	0.005	0.0189	0.0105
71059	3552950	0.009	0.006	0.0189	0.0126
71060	3553000	0.011	0.008	0.0231	0.0168
71061	3553050	0.011	0.007	0.0231	0.0147
71062	3553100	0.01	0.006	0.021	0.0126
71063	3553150	0.009	0.006	0.0189	0.0126
71064	3553200	0.009	0.005	0.0189	0.0105
71065	3553250	0.009	0.004	0.0189	0.0084
71066	3553300	0.009	0.003	0.0189	0.0063
71067	3553350	0.009	0.004	0.0189	0.0084
71068	3553400	0.008	0.006	0.0168	0.0126
71069	3553450	0.007	0.006	0.0147	0.0126
71070	3553500	0	0.007	0	0.0147
71071	3553550	-0.002	0.006	-0.0042	0.0126
71072	3553600	-0.008	0.005	-0.0168	0.0105
71073	3553650	-0.012	0.005	-0.0252	0.0105
71074	3553700	-0.018	0.005	-0.0378	0.0105
71075	3553750	-0.014	0.004	-0.0294	0.0084
71076	3553800	-0.011	0.003	-0.0231	0.0063
71077	3553850	-0.01	0.003	-0.021	0.0063
71078	3553900	-0.011	0.004	-0.0231	0.0084
71079	3553950	-0.013	0.003	-0.0273	0.0063
71080	3554000	-0.015	0.004	-0.0315	0.0084
71081	3554050	-0.014	0.006	-0.0294	0.0126
71082	3554100	-0.008	0.005	-0.0168	0.0105
71083	3554150	-0.007	0.005	-0.0147	0.0105
71084	3554200	-0.009	0.005	-0.0189	0.0105
71085	3554250	-0.009	0.005	-0.0189	0.0105
71086	3554300	-0.011	0.007	-0.0231	0.0147
71087	3554350	-0.011	0.006	-0.0231	0.0126
71088	3554400	-0.009	0.003	-0.0189	0.0063
71089	3554450	-0.006	0.003	-0.0126	0.0063
71090	3554500	-0.005	0.004	-0.0105	0.0084
71091	3554550	-0.008	0.004	-0.0168	0.0084
71092	3554600	-0.011	0.004	-0.0231	0.0084
71093	3554650	-0.013	0.004	-0.0273	0.0084
71094	3554700	-0.015	0.004	-0.0315	0.0084
71095	3554750	-0.017	0.004	-0.0357	0.0084
