SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
70544	3527200	0.01	0.017	0.021	0.0357
70545	3527250	0.011	0.017	0.0231	0.0357
70546	3527300	0.011	0.019	0.0231	0.0399
70547	3527350	0.01	0.019	0.021	0.0399
70548	3527400	0.011	0.014	0.0231	0.0294
70549	3527450	0.007	0.013	0.0147	0.0273
70550	3527500	0.006	0.014	0.0126	0.0294
70551	3527550	0.006	0.013	0.0126	0.0273
70552	3527600	0.009	0.014	0.0189	0.0294
70553	3527650	0.009	0.013	0.0189	0.0273
70554	3527700	0.011	0.013	0.0231	0.0273
70555	3527750	0.013	0.015	0.0273	0.0315
70556	3527800	0.01	0.014	0.021	0.0294
70557	3527850	0.008	0.012	0.0168	0.0252
70558	3527900	0.008	0.009	0.0168	0.0189
70559	3527950	0.01	0.01	0.021	0.021
70560	3528000	0.009	0.008	0.0189	0.0168
70561	3528050	0.009	0.009	0.0189	0.0189
70562	3528100	0.009	0.009	0.0189	0.0189
70563	3528150	0.007	0.009	0.0147	0.0189
70564	3528200	0	0.008	0	0.0168
70565	3528250	-0.006	0.007	-0.0126	0.0147
70566	3528300	-0.004	0.007	-0.0084	0.0147
70567	3528350	-0.002	0.008	-0.0042	0.0168
70568	3528400	0.004	0.01	0.0084	0.021
70569	3528450	0.005	0.01	0.0105	0.021
70570	3528500	0.009	0.01	0.0189	0.021
70571	3528550	0.02	0.017	0.042	0.0357
70572	3528600	0.027	0.028	0.0567	0.0588
70573	3528650	0.032	0.028	0.0672	0.0588
70574	3528700	0.027	-0.008	0.0567	-0.0168
70575	3528750	0.022	-0.018	0.0462	-0.0378
70576	3528800	0.012	-0.01	0.0252	-0.021
70577	3528850	0.012	-0.001	0.0252	-0.0021
70578	3528900	0.011	0.003	0.0231	0.0063
70579	3528950	0.011	0.006	0.0231	0.0126
70580	3529000	0.009	0.007	0.0189	0.0147
70581	3529050	0.009	0.008	0.0189	0.0168
70582	3529100	0.009	0.009	0.0189	0.0189
70583	3529150	0.014	0.009	0.0294	0.0189
70584	3529200	0.036	0.023	0.0756	0.0483
70585	3529250	0.089	0.043	0.1869	0.0903
70586	3529300	0.105	0.067	0.2205	0.1407
70587	3529350	0.089	0.034	0.1869	0.0714
70588	3529400	0.075	0.025	0.1575	0.0525
70589	3529450	0.055	0.037	0.1155	0.0777
70590	3529500	0.058	0.059	0.1218	0.1239
70591	3529550	0.077	0.072	0.1617	0.1512
70592	3529600	0.095	0.068	0.1995	0.1428
70593	3529650	0.091	0.056	0.1911	0.1176
70594	3529700	0.104	0.059	0.2184	0.1239
70595	3529750	0.105	0.057	0.2205	0.1197
70596	3529800	0.074	0.026	0.1554	0.0546
70597	3529850	0.058	0.019	0.1218	0.0399
70598	3529900	0.05	0.026	0.105	0.0546
70599	3529950	0.041	0.026	0.0861	0.0546
70600	3530000	0.042	0.02	0.0882	0.042
70601	3530050	0.036	0.013	0.0756	0.0273
70602	3530100	0.023	0.007	0.0483	0.0147
70603	3530150	0.023	0.003	0.0483	0.0063
70604	3530200	0.018	0.003	0.0378	0.0063
70605	3530250	0.018	0.003	0.0378	0.0063
70606	3530300	0.027	0.008	0.0567	0.0168
70607	3530350	0.027	0.011	0.0567	0.0231
70608	3530400	0.022	0.017	0.0462	0.0357
70609	3530450	0.028	0.021	0.0588	0.0441
70610	3530500	0.026	0.017	0.0546	0.0357
70611	3530550	0.021	0.014	0.0441	0.0294
70612	3530600	0.018	0.014	0.0378	0.0294
70613	3530650	0.022	0.009	0.0462	0.0189
70614	3530700	0.026	0.004	0.0546	0.0084
70615	3530750	0.028	0.005	0.0588	0.0105
70616	3530800	0.02	0.015	0.042	0.0315
70617	3530850	0.019	0.013	0.0399	0.0273
70618	3530900	0.03	0.007	0.063	0.0147
70619	3530950	0.03	0.013	0.063	0.0273
70620	3531000	0.024	0.013	0.0504	0.0273
70621	3531050	0.024	0.014	0.0504	0.0294
70622	3531100	0.025	0.006	0.0525	0.0126
70623	3531150	0.017	0.007	0.0357	0.0147
70624	3531200	0.016	0.006	0.0336	0.0126
70625	3531250	0.016	0.004	0.0336	0.0084
70626	3531300	0.015	0.004	0.0315	0.0084
70627	3531350	0.014	0.004	0.0294	0.0084
70628	3531400	0.028	0.009	0.0588	0.0189
70629	3531450	0.041	0.035	0.0861	0.0735
70630	3531500	0.088	0.08	0.1848	0.168
70631	3531550	0.089	0.079	0.1869	0.1659
70632	3531600	0.068	0.06	0.1428	0.126
70633	3531650	0.056	0.056	0.1176	0.1176
70634	3531700	0.036	0.026	0.0756	0.0546
70635	3531750	0.017	0.01	0.0357	0.021
70636	3531800	0.02	0.021	0.042	0.0441
70637	3531850	0.047	0.055	0.0987	0.1155
70638	3531900	0.118	0.105	0.2478	0.2205
70639	3531950	0.144	0.158	0.3024	0.3318
70640	3532000	0.194	0.198	0.4074	0.4158
70641	3532050	0.189	0.194	0.3969	0.4074
70642	3532100	0.127	0.124	0.2667	0.2604
70643	3532150	0.065	0.09	0.1365	0.189
70644	3532200	0.017	0.015	0.0357	0.0315
70645	3532250	0.006	0.009	0.0126	0.0189
70646	3532300	0.008	0.006	0.0168	0.0126
70647	3532350	0.01	0.006	0.021	0.0126
70648	3532400	0.011	0.005	0.0231	0.0105
70649	3532450	0.011	0.006	0.0231	0.0126
70650	3532500	0.009	0.006	0.0189	0.0126
70651	3532550	0.01	0.007	0.021	0.0147
70652	3532600	0.009	0.006	0.0189	0.0126
70653	3532650	0.01	0.004	0.021	0.0084
70654	3532700	0.011	0.002	0.0231	0.0042
70655	3532750	0.011	0.003	0.0231	0.0063
70656	3532800	0.012	0.005	0.0252	0.0105
70657	3532850	0.012	0.005	0.0252	0.0105
70658	3532900	0.011	0.004	0.0231	0.0084
70659	3532950	0.011	0.005	0.0231	0.0105
70660	3533000	0.009	0.004	0.0189	0.0084
70661	3533050	0.01	0.006	0.021	0.0126
70662	3533100	0.011	0.005	0.0231	0.0105
70663	3533150	0.012	0.005	0.0252	0.0105
70664	3533200	0.01	0.004	0.021	0.0084
70665	3533250	0.011	0.005	0.0231	0.0105
70666	3533300	0.01	0.004	0.021	0.0084
70667	3533350	0.009	0.004	0.0189	0.0084
70668	3533400	0.009	0.004	0.0189	0.0084
70669	3533450	0.009	0.004	0.0189	0.0084
70670	3533500	0.01	0.005	0.021	0.0105
70671	3533550	0.011	0.005	0.0231	0.0105
70672	3533600	0.012	0.005	0.0252	0.0105
70673	3533650	0.011	0.003	0.0231	0.0063
70674	3533700	0.009	0.004	0.0189	0.0084
70675	3533750	0.01	0.005	0.021	0.0105
70676	3533800	0.011	0.005	0.0231	0.0105
70677	3533850	0.009	0.004	0.0189	0.0084
70678	3533900	0.01	0.004	0.021	0.0084
70679	3533950	0.011	0.004	0.0231	0.0084
70680	3534000	0.01	0.006	0.021	0.0126
70681	3534050	0.009	0.006	0.0189	0.0126
70682	3534100	0.017	0.016	0.0357	0.0336
70683	3534150	0.019	0.017	0.0399	0.0357
70684	3534200	0.015	0.011	0.0315	0.0231
70685	3534250	0.01	0.005	0.021	0.0105
70686	3534300	0.011	0.005	0.0231	0.0105
70687	3534350	0.011	0.005	0.0231	0.0105
70688	3534400	0.013	0.005	0.0273	0.0105
70689	3534450	0.013	0.004	0.0273	0.0084
70690	3534500	0.011	0.003	0.0231	0.0063
70691	3534550	0.011	0.003	0.0231	0.0063
70692	3534600	0.011	0.003	0.0231	0.0063
70693	3534650	0.01	0.004	0.021	0.0084
70694	3534700	0.01	0.004	0.021	0.0084
70695	3534750	0.01	0.002	0.021	0.0042
70696	3534800	0.01	0.004	0.021	0.0084
70697	3534850	0.01	0.004	0.021	0.0084
70698	3534900	0.01	0.006	0.021	0.0126
70699	3534950	0.01	0.007	0.021	0.0147
70700	3535000	0.01	0.006	0.021	0.0126
70701	3535050	0.01	0.006	0.021	0.0126
70702	3535100	0.01	0.005	0.021	0.0105
70703	3535150	0.011	0.004	0.0231	0.0084
70704	3535200	0.01	0.004	0.021	0.0084
70705	3535250	0.009	0.005	0.0189	0.0105
70706	3535300	0.008	0.005	0.0168	0.0105
70707	3535350	0.008	0.005	0.0168	0.0105
70708	3535400	0.008	0.004	0.0168	0.0084
70709	3535450	0.008	0.005	0.0168	0.0105
70710	3535500	0.008	0.006	0.0168	0.0126
70711	3535550	0.009	0.005	0.0189	0.0105
70712	3535600	0.01	0.003	0.021	0.0063
70713	3535650	0.01	0.003	0.021	0.0063
70714	3535700	0.009	0.003	0.0189	0.0063
70715	3535750	0.009	0.003	0.0189	0.0063
70716	3535800	0.009	0.005	0.0189	0.0105
70717	3535850	0.008	0.006	0.0168	0.0126
70718	3535900	0.009	0.005	0.0189	0.0105
70719	3535950	0.01	0.002	0.021	0.0042
70720	3536000	0.009	0.003	0.0189	0.0063
70721	3536050	0.01	0.004	0.021	0.0084
70722	3536100	0.011	0.005	0.0231	0.0105
70723	3536150	0.011	0.004	0.0231	0.0084
70724	3536200	0.012	0.006	0.0252	0.0126
70725	3536250	0.013	0.006	0.0273	0.0126
70726	3536300	0.01	0.006	0.021	0.0126
70727	3536350	0.011	0.006	0.0231	0.0126
70728	3536400	0.011	0.006	0.0231	0.0126
70729	3536450	0.012	0.004	0.0252	0.0084
70730	3536500	0.011	0.005	0.0231	0.0105
70731	3536550	0.011	0.006	0.0231	0.0126
70732	3536600	0.01	0.006	0.021	0.0126
70733	3536650	0.01	0.005	0.021	0.0105
70734	3536700	0.01	0.004	0.021	0.0084
70735	3536750	0.01	0.002	0.021	0.0042
70736	3536800	0.01	0.003	0.021	0.0063
70737	3536850	0.01	0.004	0.021	0.0084
70738	3536900	0.009	0.007	0.0189	0.0147
70739	3536950	0.009	0.007	0.0189	0.0147
70740	3537000	0.01	0.006	0.021	0.0126
70741	3537050	0.01	0.005	0.021	0.0105
