SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
152061	7603050	-0.001	-0.033	-0.0021	-0.0693
152062	7603100	-0.002	-0.034	-0.0042	-0.0714
152063	7603150	-0.002	-0.034	-0.0042	-0.0714
152064	7603200	0	-0.036	0	-0.0756
152065	7603250	0	-0.036	0	-0.0756
152066	7603300	0	-0.036	0	-0.0756
152067	7603350	0.001	-0.036	0.0021	-0.0756
152068	7603400	0.002	-0.037	0.0042	-0.0777
152069	7603450	0.003	-0.038	0.0063	-0.0798
152070	7603500	0.002	-0.04	0.0042	-0.084
152071	7603550	0.002	-0.04	0.0042	-0.084
152072	7603600	0.001	-0.039	0.0021	-0.0819
152073	7603650	0.002	-0.039	0.0042	-0.0819
152074	7603700	0.001	-0.041	0.0021	-0.0861
152075	7603750	0.001	-0.041	0.0021	-0.0861
152076	7603800	0	-0.046	0	-0.0966
152077	7603850	0	-0.046	0	-0.0966
152078	7603900	0.001	-0.044	0.0021	-0.0924
152079	7603950	0.001	-0.044	0.0021	-0.0924
152080	7604000	0	-0.043	0	-0.0903
152081	7604050	-0.001	-0.042	-0.0021	-0.0882
152082	7604100	-0.004	-0.041	-0.0084	-0.0861
152083	7604150	-0.004	-0.041	-0.0084	-0.0861
152084	7604200	-0.001	-0.043	-0.0021	-0.0903
152085	7604250	-0.001	-0.045	-0.0021	-0.0945
152086	7604300	-0.001	-0.045	-0.0021	-0.0945
152087	7604350	-0.001	-0.045	-0.0021	-0.0945
152088	7604400	-0.003	-0.044	-0.0063	-0.0924
152089	7604450	-0.005	-0.044	-0.0105	-0.0924
152090	7604500	-0.006	-0.045	-0.0126	-0.0945
152091	7604550	-0.005	-0.043	-0.0105	-0.0903
152092	7604600	-0.004	-0.043	-0.0084	-0.0903
152093	7604650	-0.004	-0.044	-0.0084	-0.0924
152094	7604700	-0.001	-0.044	-0.0021	-0.0924
152095	7604750	0	-0.044	0	-0.0924
152096	7604800	0	-0.044	0	-0.0924
152097	7604850	-0.001	-0.046	-0.0021	-0.0966
152098	7604900	0	-0.047	0	-0.0987
152099	7604950	0	-0.047	0	-0.0987
152100	7605000	-0.002	-0.045	-0.0042	-0.0945
152101	7605050	-0.003	-0.045	-0.0063	-0.0945
152102	7605100	-0.005	-0.046	-0.0105	-0.0966
152103	7605150	-0.005	-0.046	-0.0105	-0.0966
152104	7605200	-0.005	-0.046	-0.0105	-0.0966
152105	7605250	-0.005	-0.044	-0.0105	-0.0924
152106	7605300	-0.003	-0.044	-0.0063	-0.0924
152107	7605350	-0.002	-0.046	-0.0042	-0.0966
152108	7605400	-0.002	-0.045	-0.0042	-0.0945
152109	7605450	-0.003	-0.043	-0.0063	-0.0903
152110	7605500	-0.005	-0.042	-0.0105	-0.0882
152111	7605550	-0.005	-0.044	-0.0105	-0.0924
152112	7605600	-0.004	-0.046	-0.0084	-0.0966
152113	7605650	-0.004	-0.046	-0.0084	-0.0966
152114	7605700	-0.001	-0.046	-0.0021	-0.0966
152115	7605750	-0.001	-0.045	-0.0021	-0.0945
152116	7605800	-0.001	-0.044	-0.0021	-0.0924
152117	7605850	-0.001	-0.045	-0.0021	-0.0945
152118	7605900	-0.003	-0.044	-0.0063	-0.0924
152119	7605950	-0.004	-0.046	-0.0084	-0.0966
152120	7606000	-0.006	-0.044	-0.0126	-0.0924
152121	7606050	-0.005	-0.042	-0.0105	-0.0882
152122	7606100	-0.004	-0.042	-0.0084	-0.0882
