SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
21888	1094400	0.128	0.14	0.2688	0.294
21889	1094450	0.119	0.146	0.2499	0.3066
21890	1094500	0.072	0.086	0.1512	0.1806
21891	1094550	0.025	0.021	0.0525	0.0441
21892	1094600	0.016	0.005	0.0336	0.0105
21893	1094650	0.023	0.007	0.0483	0.0147
21894	1094700	0.016	0.003	0.0336	0.0063
21895	1094750	0.012	-0.004	0.0252	-0.0084
21896	1094800	0.01	-0.005	0.021	-0.0105
21897	1094850	0.009	-0.005	0.0189	-0.0105
21898	1094900	0.013	-0.006	0.0273	-0.0126
21899	1094950	0.014	-0.005	0.0294	-0.0105
21900	1095000	0.015	-0.006	0.0315	-0.0126
21901	1095050	0.012	-0.004	0.0252	-0.0084
21902	1095100	0.012	0.015	0.0252	0.0315
21903	1095150	0.013	0.046	0.0273	0.0966
21904	1095200	0.029	0.078	0.0609	0.1638
21905	1095250	0.048	0.108	0.1008	0.2268
21906	1095300	0.042	0.134	0.0882	0.2814
21907	1095350	0.037	0.126	0.0777	0.2646
21908	1095400	0.016	0.071	0.0336	0.1491
21909	1095450	0.004	0.006	0.0084	0.0126
21910	1095500	-0.006	-0.019	-0.0126	-0.0399
21911	1095550	0.008	-0.014	0.0168	-0.0294
21912	1095600	0.01	-0.006	0.021	-0.0126
21913	1095650	0.011	-0.006	0.0231	-0.0126
21914	1095700	0.012	-0.006	0.0252	-0.0126
21915	1095750	0.013	-0.007	0.0273	-0.0147
21916	1095800	0.012	-0.006	0.0252	-0.0126
21917	1095850	0.012	-0.006	0.0252	-0.0126
21918	1095900	0.012	-0.007	0.0252	-0.0147
21919	1095950	0.011	-0.009	0.0231	-0.0189
21920	1096000	0.01	-0.014	0.021	-0.0294
21921	1096050	0.012	-0.021	0.0252	-0.0441
21922	1096100	0.019	-0.052	0.0399	-0.1092
21923	1096150	0.009	-0.062	0.0189	-0.1302
21924	1096200	0	-0.082	0	-0.1722
21925	1096250	0.005	-0.09	0.0105	-0.189
21926	1096300	0.023	-0.098	0.0483	-0.2058
21927	1096350	0.039	-0.085	0.0819	-0.1785
21928	1096400	0.054	-0.066	0.1134	-0.1386
21929	1096450	0.074	-0.039	0.1554	-0.0819
21930	1096500	0.108	-0.001	0.2268	-0.0021
